"genes"	"sample1"	"SRR1748411"	"SRR1748412"	"SRR1873277"
"1"	"0610007N19Rik"	0.0383333333333333	0.466666666666667	0.6125	1.61929824561404
"2"	"0610007P14Rik"	0.02	0.661764705882353	0.825	1.50526315789474
"3"	"0610009B22Rik"	0.00666666666666667	0.173529411764706	0.325	0.435087719298246
"4"	"0610009D07Rik"	0.015	1.57843137254902	1.975	2.60175438596491
"5"	"0610009E02Rik"	NA	0.00882352941176471	0.0125	0.0421052631578947
"6"	"0610009L18Rik"	0.00166666666666667	0.00980392156862745	0.025	0.0473684210526316
"7"	"0610009O20Rik"	0.00166666666666667	0.092156862745098	0.05	0.147368421052632
"8"	"0610010F05Rik"	0.00333333333333333	0.203921568627451	0.2375	0.366666666666667
"9"	"0610010K14Rik"	NA	0.00686274509803922	0.025	0.00701754385964912
"10"	"0610011F06Rik"	0.00666666666666667	0.209803921568627	0.3875	0.652631578947368
"11"	"0610030E20Rik"	0.00166666666666667	0.201960784313725	0.35	0.340350877192982
"12"	"0610031J06Rik"	0.0133333333333333	0.380392156862745	0.575	0.607017543859649
"13"	"0610037L13Rik"	0.0166666666666667	0.395098039215686	0.6375	0.96140350877193
"14"	"0610038L08Rik"	NA	NA	0.0125	NA
"15"	"0610039K10Rik"	NA	0.00294117647058824	NA	0.00175438596491228
"16"	"0610040B10Rik"	NA	0.00784313725490196	0.025	0.0210526315789474
"17"	"0610043K17Rik"	0.00166666666666667	NA	NA	NA
"18"	"1010001B22Rik"	0.00166666666666667	0.00784313725490196	NA	0.0192982456140351
"19"	"1100001G20Rik"	NA	NA	NA	0.00175438596491228
"20"	"1110001A16Rik"	0.0233333333333333	0.319607843137255	0.3875	0.740350877192982
"21"	"1110001J03Rik"	0.01	0.42843137254902	0.5125	1.07719298245614
"22"	"1110002J07Rik"	NA	NA	NA	0.00175438596491228
"23"	"1110002L01Rik"	0.00666666666666667	0.108823529411765	0.1625	0.170175438596491
"24"	"1110004E09Rik"	0.00166666666666667	0.55	0.475	0.833333333333333
"25"	"1110004F10Rik"	0.0283333333333333	1.06372549019608	2.025	1.55789473684211
"26"	"1110007C09Rik"	0.00333333333333333	0.272549019607843	0.325	0.398245614035088
"27"	"1110008F13Rik"	0.0116666666666667	1.25	1.625	1.91578947368421
"28"	"1110008J03Rik"	NA	0.108823529411765	0.1875	0.112280701754386
"29"	"1110008L16Rik"	0.00166666666666667	0.0666666666666667	0.0875	0.110526315789474
"30"	"1110008P14Rik"	0.005	0.263725490196078	0.225	0.391228070175439
"31"	"1110012L19Rik"	0.00666666666666667	0.132352941176471	0.275	0.391228070175439
"32"	"1110017D15Rik"	NA	NA	NA	0.00175438596491228
"33"	"1110019D14Rik"	0.00333333333333333	0.0411764705882353	0.075	0.0596491228070175
"34"	"1110020A21Rik"	0.00166666666666667	0.0107843137254902	NA	0.0315789473684211
"35"	"1110028F11Rik"	0.00166666666666667	NA	NA	NA
"36"	"1110032A03Rik"	0.00666666666666667	0.0558823529411765	0.05	0.157894736842105
"37"	"1110034G24Rik"	NA	0.0313725490196078	0.0125	0.0596491228070175
"38"	"1110035M17Rik"	NA	0.00392156862745098	NA	0.00350877192982456
"39"	"1110037F02Rik"	0.00833333333333333	0.326470588235294	0.5	0.521052631578947
"40"	"1110038B12Rik"	0.0783333333333333	2.01078431372549	2.9125	4.05614035087719
"41"	"1110038F14Rik"	0.015	0.486274509803922	0.5125	0.840350877192982
"42"	"1110046J04Rik"	NA	0.0470588235294118	0.0875	0.0807017543859649
"43"	"1110051M20Rik"	0.00333333333333333	0.15	0.2	0.375438596491228
"44"	"1110054M08Rik"	0.01	0.0715686274509804	0.1375	0.194736842105263
"45"	"1110057K04Rik"	0.005	0.332352941176471	0.475	0.557894736842105
"46"	"1110058L19Rik"	0.0233333333333333	0.449019607843137	0.5375	1.13684210526316
"47"	"1110059E24Rik"	0.015	0.391176470588235	0.65	0.614035087719298
"48"	"1110059G10Rik"	0.005	0.238235294117647	0.3	0.426315789473684
"49"	"1110065P20Rik"	0.0183333333333333	0.430392156862745	0.6	0.821052631578947
"50"	"1190002N15Rik"	NA	0.0990196078431373	0.1125	0.103508771929825
"51"	"1190005I06Rik"	NA	0.0303921568627451	0.025	0.0385964912280702
"52"	"1190007I07Rik"	0.00166666666666667	0.114705882352941	0.275	0.354385964912281
"53"	"1200007C13Rik"	NA	NA	NA	0.00350877192982456
"54"	"1200014J11Rik"	0.00833333333333333	0.394117647058824	0.4875	0.494736842105263
"55"	"1300002E11Rik"	0.00333333333333333	0.0598039215686275	0.1125	0.180701754385965
"56"	"1300002K09Rik"	NA	NA	0.0125	NA
"57"	"1300017J02Rik"	NA	NA	NA	0.00175438596491228
"58"	"1500002C15Rik"	NA	0.0205882352941176	0.025	0.0456140350877193
"59"	"1500002O10Rik"	NA	0.00196078431372549	NA	NA
"60"	"1500009L16Rik"	NA	NA	0.0125	NA
"61"	"1500011B03Rik"	NA	0.0264705882352941	0.0625	0.0526315789473684
"62"	"1500011K16Rik"	0.00833333333333333	0.442156862745098	0.55	0.868421052631579
"63"	"1500012F01Rik"	0.103333333333333	2.98039215686275	4.475	5.32982456140351
"64"	"1500017E21Rik"	NA	0.000980392156862745	NA	0.00175438596491228
"65"	"1500026H17Rik"	0.00166666666666667	0.00392156862745098	NA	0.0210526315789474
"66"	"1520401A03Rik"	NA	0.00294117647058824	NA	0.0087719298245614
"67"	"1600002D24Rik"	NA	0.000980392156862745	NA	0.00175438596491228
"68"	"1600002H07Rik"	NA	0.117647058823529	0.2125	0.189473684210526
"69"	"1600002K03Rik"	0.00166666666666667	0.107843137254902	0.1	0.201754385964912
"70"	"1600012H06Rik"	0.00333333333333333	0.21078431372549	0.2625	0.387719298245614
"71"	"1600014C10Rik"	NA	0.0323529411764706	0.1	0.0614035087719298
"72"	"1600014C23Rik"	0.00166666666666667	NA	0.0125	NA
"73"	"1600020E01Rik"	NA	0.0784313725490196	0.15	0.194736842105263
"74"	"1600029D21Rik"	NA	0.000980392156862745	0.0125	NA
"75"	"1700001G11Rik"	0.00166666666666667	0.00392156862745098	0.0125	0.0175438596491228
"76"	"1700001G17Rik"	NA	0.00294117647058824	0.0125	0.00350877192982456
"77"	"1700001J04Rik"	NA	NA	0.0125	NA
"78"	"1700001L05Rik"	NA	0.00196078431372549	NA	NA
"79"	"1700001L19Rik"	NA	0.00392156862745098	NA	NA
"80"	"1700001O22Rik"	NA	0.00196078431372549	NA	NA
"81"	"1700001P01Rik"	NA	0.00392156862745098	0.0125	NA
"82"	"1700003E16Rik"	NA	0.00784313725490196	NA	0.0087719298245614
"83"	"1700003F12Rik"	0.00166666666666667	0.0117647058823529	NA	0.0578947368421053
"84"	"1700006D18Rik"	0.00166666666666667	NA	NA	NA
"85"	"1700006J14Rik"	NA	0.00980392156862745	0.0625	0.0105263157894737
"86"	"1700006P19Rik"	0.00166666666666667	0.00196078431372549	NA	0.00701754385964912
"87"	"1700007B14Rik"	NA	NA	NA	0.00175438596491228
"88"	"1700007G11Rik"	NA	NA	NA	0.00526315789473684
"89"	"1700007K13Rik"	NA	0.00392156862745098	NA	0.00175438596491228
"90"	"1700007L15Rik"	NA	0.00588235294117647	NA	0.0245614035087719
"91"	"1700007P06Rik"	NA	NA	NA	0.00350877192982456
"92"	"1700008O03Rik"	NA	0.0186274509803922	0.0875	0.114035087719298
"93"	"1700009N14Rik"	NA	0.00882352941176471	0.025	0.0087719298245614
"94"	"1700010I14Rik"	0.00166666666666667	0.0147058823529412	0.025	0.0508771929824561
"95"	"1700010K24Rik"	NA	0.00196078431372549	NA	0.00175438596491228
"96"	"1700011A15Rik"	NA	NA	NA	0.00350877192982456
"97"	"1700011E24Rik"	0.00166666666666667	0.00196078431372549	NA	NA
"98"	"1700011J10Rik"	0.0183333333333333	0.138235294117647	0.1	0.466666666666667
"99"	"1700011L22Rik"	NA	NA	NA	0.00175438596491228
"100"	"1700012B15Rik"	0.00666666666666667	0.123529411764706	0.1625	0.17719298245614
"101"	"1700013F07Rik"	0.00166666666666667	0.000980392156862745	NA	0.00350877192982456
"102"	"1700013G23Rik"	NA	0.00882352941176471	0.0125	0.0228070175438597
"103"	"1700013H16Rik"	NA	0.000980392156862745	NA	0.00350877192982456
"104"	"1700015E13Rik"	NA	0.000980392156862745	NA	NA
"105"	"1700015F17Rik"	NA	0.0117647058823529	0.025	0.0087719298245614
"106"	"1700015G11Rik"	NA	0.00196078431372549	NA	NA
"107"	"1700016C15Rik"	NA	0.000980392156862745	0.025	NA
"108"	"1700016D08Rik"	0.00166666666666667	0.000980392156862745	0.0125	0.00175438596491228
"109"	"1700016G14Rik"	NA	NA	0.0125	NA
"110"	"1700017B05Rik"	NA	0.0980392156862745	0.075	0.0912280701754386
"111"	"1700017G19Rik"	0.00166666666666667	NA	NA	0.00175438596491228
"112"	"1700018A04Rik"	0.00166666666666667	0.0147058823529412	NA	0.0228070175438597
"113"	"1700019D03Rik"	0.00166666666666667	NA	NA	NA
"114"	"1700019G06Rik"	NA	0.0166666666666667	0.025	0.00701754385964912
"115"	"1700019G17Rik"	NA	NA	NA	0.00526315789473684
"116"	"1700019G24Rik"	NA	NA	NA	0.00175438596491228
"117"	"1700019L03Rik"	NA	0.00686274509803922	NA	0.00175438596491228
"118"	"1700020I14Rik"	0.0116666666666667	0.667647058823529	0.975	0.757894736842105
"119"	"1700020L24Rik"	NA	0.00196078431372549	NA	0.00175438596491228
"120"	"1700021F05Rik"	0.0183333333333333	0.605882352941176	0.8625	0.884210526315789
"121"	"1700021K19Rik"	NA	0.163725490196078	0.275	0.17719298245614
"122"	"1700022I11Rik"	0.00166666666666667	0.0186274509803922	0.0625	0.0210526315789474
"123"	"1700022K14Rik"	NA	0.000980392156862745	NA	NA
"124"	"1700022N22Rik"	NA	0.000980392156862745	NA	0.00175438596491228
"125"	"1700023E05Rik"	NA	0.000980392156862745	NA	NA
"126"	"1700023H06Rik"	0.00166666666666667	NA	NA	NA
"127"	"1700024B05Rik"	NA	0.000980392156862745	NA	NA
"128"	"1700024N20Rik"	NA	0.00392156862745098	NA	0.0087719298245614
"129"	"1700024P16Rik"	NA	0.0401960784313726	0.1	0.012280701754386
"130"	"1700025G04Rik"	0.03	0.511764705882353	0.7875	0.508771929824561
"131"	"1700026D08Rik"	0.00166666666666667	0.00784313725490196	NA	0.0105263157894737
"132"	"1700026L06Rik"	NA	0.000980392156862745	NA	0.00175438596491228
"133"	"1700027A07Rik"	NA	NA	0.0125	0.00175438596491228
"134"	"1700028J19Rik"	NA	0.0107843137254902	NA	0.0157894736842105
"135"	"1700028K03Rik"	NA	0.00196078431372549	0.0125	0.00526315789473684
"136"	"1700028N14Rik"	NA	0.00294117647058824	NA	0.00526315789473684
"137"	"1700029I15Rik"	NA	0.000980392156862745	NA	NA
"138"	"1700029J07Rik"	0.00166666666666667	0.0107843137254902	0.025	0.0350877192982456
"139"	"1700029M20Rik"	0.00166666666666667	NA	NA	NA
"140"	"1700029P11Rik"	NA	NA	NA	0.00175438596491228
"141"	"1700030C12Rik"	NA	0.00294117647058824	NA	0.00175438596491228
"142"	"1700030J22Rik"	NA	0.00686274509803922	0.025	0.012280701754386
"143"	"1700030K09Rik"	0.00166666666666667	0.0901960784313725	0.175	0.189473684210526
"144"	"1700030M09Rik"	NA	0.0117647058823529	0.05	0.0087719298245614
"145"	"1700034E13Rik"	NA	0.000980392156862745	0.0125	0.00701754385964912
"146"	"1700034H15Rik"	NA	0.00196078431372549	0.0125	0.00526315789473684
"147"	"1700034J05Rik"	0.00166666666666667	NA	NA	NA
"148"	"1700034P13Rik"	NA	NA	NA	0.00350877192982456
"149"	"1700037C18Rik"	NA	0.0254901960784314	0.0375	0.0508771929824561
"150"	"1700037H04Rik"	0.00833333333333333	0.491176470588235	0.725	1
"151"	"1700040D17Rik"	NA	NA	NA	0.00350877192982456
"152"	"1700047A11Rik"	NA	NA	NA	0.00175438596491228
"153"	"1700047K16Rik"	NA	0.000980392156862745	NA	0.00350877192982456
"154"	"1700048O20Rik"	0.00166666666666667	0.0686274509803922	0.1875	0.087719298245614
"155"	"1700049G17Rik"	0.005	0.0343137254901961	0.125	0.0456140350877193
"156"	"1700051O22Rik"	NA	0.00196078431372549	NA	NA
"157"	"1700052N19Rik"	0.005	0.217647058823529	0.2625	0.303508771929825
"158"	"1700055D18Rik"	NA	NA	NA	0.00175438596491228
"159"	"1700056E22Rik"	0.00166666666666667	0.0401960784313726	0.05	0.0578947368421053
"160"	"1700056N10Rik"	NA	0.0127450980392157	0.025	0.0087719298245614
"161"	"1700058G18Rik"	NA	NA	NA	0.00175438596491228
"162"	"1700058P15Rik"	NA	0.000980392156862745	NA	NA
"163"	"1700060C16Rik"	NA	0.000980392156862745	NA	NA
"164"	"1700061I17Rik"	NA	NA	NA	0.00175438596491228
"165"	"1700064E03Rik"	NA	0.00294117647058824	NA	NA
"166"	"1700065D16Rik"	NA	0.00196078431372549	0.0125	0.00175438596491228
"167"	"1700065I17Rik"	NA	0.000980392156862745	NA	NA
"168"	"1700066J24Rik"	NA	0.000980392156862745	NA	NA
"169"	"1700066M21Rik"	0.00166666666666667	0.116666666666667	0.0875	0.126315789473684
"170"	"1700066O22Rik"	NA	0.000980392156862745	NA	0.00175438596491228
"171"	"1700067K01Rik"	0.00166666666666667	NA	0.05	0.00350877192982456
"172"	"1700071M16Rik"	NA	0.00294117647058824	0.0125	0.0087719298245614
"173"	"1700081H22Rik"	0.00166666666666667	NA	NA	NA
"174"	"1700084C01Rik"	NA	0.000980392156862745	NA	NA
"175"	"1700084C06Rik"	NA	0.00294117647058824	NA	0.00350877192982456
"176"	"1700084J12Rik"	0.00333333333333333	0.00294117647058824	0.025	0.0228070175438597
"177"	"1700086O06Rik"	0.00166666666666667	0.0450980392156863	0.1375	0.0842105263157895
"178"	"1700086P04Rik"	NA	NA	NA	0.00701754385964912
"179"	"1700088E04Rik"	NA	0.00686274509803922	0.05	0.0245614035087719
"180"	"1700092M07Rik"	NA	0.00588235294117647	0.0125	NA
"181"	"1700093K21Rik"	0.00333333333333333	0.00392156862745098	0.0125	0.00526315789473684
"182"	"1700094C10Rik"	NA	NA	0.0125	0.00175438596491228
"183"	"1700094D03Rik"	NA	0.0549019607843137	0.25	0.0578947368421053
"184"	"1700095J03Rik"	NA	0.000980392156862745	NA	NA
"185"	"1700095J07Rik"	NA	0.000980392156862745	0.0125	NA
"186"	"1700101E01Rik"	NA	0.000980392156862745	0.0125	NA
"187"	"1700101I11Rik"	NA	0.00196078431372549	NA	0.0105263157894737
"188"	"1700102P08Rik"	NA	0.000980392156862745	NA	0.00526315789473684
"189"	"1700104B16Rik"	NA	NA	NA	0.00175438596491228
"190"	"1700109F18Rik"	0.00833333333333333	0.0666666666666667	0.0875	0.154385964912281
"191"	"1700109H08Rik"	NA	0.0107843137254902	0.025	0.00526315789473684
"192"	"1700112D23Rik"	0.00166666666666667	0.00196078431372549	0.0125	NA
"193"	"1700112E06Rik"	NA	0.00882352941176471	0.0125	0.0157894736842105
"194"	"1700112J05Rik"	NA	0.000980392156862745	NA	NA
"195"	"1700112J16Rik"	0.00166666666666667	0.000980392156862745	NA	NA
"196"	"1700113A16Rik"	NA	0.00392156862745098	0.025	0.0245614035087719
"197"	"1700122E12Rik"	NA	0.000980392156862745	NA	0.00175438596491228
"198"	"1700123M08Rik"	NA	0.0117647058823529	0.025	0.0491228070175439
"199"	"1700123O20Rik"	NA	0.32843137254902	0.3875	0.494736842105263
"200"	"1700125H20Rik"	NA	0.000980392156862745	NA	NA
"201"	"1810008B01Rik"	0.00166666666666667	NA	NA	NA
"202"	"1810009A15Rik"	0.04	2.32254901960784	2.85	3.27368421052632
"203"	"1810010H24Rik"	NA	0.00196078431372549	NA	0.00701754385964912
"204"	"1810010K12Rik"	NA	0.000980392156862745	NA	NA
"205"	"1810011O10Rik"	NA	0.00784313725490196	NA	0.0280701754385965
"206"	"1810012K08Rik"	NA	NA	NA	0.00175438596491228
"207"	"1810013L24Rik"	0.00333333333333333	0.238235294117647	0.375	0.36140350877193
"208"	"1810014B01Rik"	0.00333333333333333	0.293137254901961	0.675	0.410526315789474
"209"	"1810019D21Rik"	NA	0.000980392156862745	0.0125	0.00350877192982456
"210"	"1810019N24Rik"	NA	0.00196078431372549	NA	0.00175438596491228
"211"	"1810021B22Rik"	NA	0.00196078431372549	NA	0.00701754385964912
"212"	"1810022K09Rik"	0.03	0.983333333333333	2.0125	1.87368421052632
"213"	"1810024B03Rik"	NA	0.0372549019607843	0.1	0.087719298245614
"214"	"1810026J23Rik"	0.00166666666666667	0.1	0.1625	0.198245614035088
"215"	"1810030O07Rik"	0.00666666666666667	0.204901960784314	0.2125	0.356140350877193
"216"	"1810032O08Rik"	NA	0.0696078431372549	0.1125	0.156140350877193
"217"	"1810037I17Rik"	0.0516666666666667	1.85588235294118	2.75	3.65964912280702
"218"	"1810043G02Rik"	0.005	0.116666666666667	0.175	0.264912280701754
"219"	"1810043H04Rik"	0.0183333333333333	0.658823529411765	0.8875	1.30350877192982
"220"	"1810049J17Rik"	NA	NA	0.0125	0.00175438596491228
"221"	"1810055G02Rik"	NA	0.32843137254902	0.375	0.42280701754386
"222"	"1810058I24Rik"	0.0483333333333333	0.913725490196078	1.325	2.00526315789474
"223"	"1810059C17Rik"	0.00166666666666667	NA	NA	0.00175438596491228
"224"	"1810059H22Rik"	0.0133333333333333	0.103921568627451	0.2	0.53859649122807
"225"	"1810062G17Rik"	NA	NA	NA	0.00175438596491228
"226"	"1810062O18Rik"	NA	0.00196078431372549	0.0125	0.0087719298245614
"227"	"2010001A14Rik"	0.005	0.0323529411764706	0.1375	0.115789473684211
"228"	"2010001M06Rik"	NA	NA	NA	0.00175438596491228
"229"	"2010003O02Rik"	0.005	0.166666666666667	0.2875	0.384210526315789
"230"	"2010007H06Rik"	0.00166666666666667	0.000980392156862745	NA	0.00526315789473684
"231"	"2010012O05Rik"	0.0133333333333333	0.37156862745098	0.45	0.678947368421053
"232"	"2010012P19Rik"	NA	0.00294117647058824	NA	0.00175438596491228
"233"	"2010015L04Rik"	NA	0.00588235294117647	NA	0.00350877192982456
"234"	"2010015M23Rik"	NA	0.00490196078431373	0.0125	0.0105263157894737
"235"	"2010107E04Rik"	0.11	3.73921568627451	5.8125	5.58245614035088
"236"	"2010107G12Rik"	NA	0.00392156862745098	NA	NA
"237"	"2010109A12Rik"	NA	NA	NA	0.00175438596491228
"238"	"2010110K18Rik"	NA	0.0137254901960784	NA	0.0175438596491228
"239"	"2010111I01Rik"	0.00333333333333333	0.0696078431372549	0.15	0.107017543859649
"240"	"2010204K13Rik"	NA	0.21078431372549	0.2	0.336842105263158
"241"	"2010300F17Rik"	NA	0.0127450980392157	0.0125	0.00350877192982456
"242"	"2010315B03Rik"	0.00166666666666667	0.0343137254901961	0.1	0.0929824561403509
"243"	"2200002D01Rik"	0.00666666666666667	0.504901960784314	0.775	0.396491228070175
"244"	"2210008F06Rik"	NA	0.00294117647058824	NA	0.0157894736842105
"245"	"2210011C24Rik"	NA	0.00882352941176471	NA	0.0228070175438597
"246"	"2210013O21Rik"	0.02	0.506862745098039	0.6625	1.09298245614035
"247"	"2210016F16Rik"	0.00166666666666667	0.000980392156862745	0.0125	NA
"248"	"2210016L21Rik"	0.0183333333333333	0.504901960784314	0.675	1.09122807017544
"249"	"2210018M11Rik"	0.00833333333333333	0.169607843137255	0.4125	0.191228070175439
"250"	"2210404O07Rik"	NA	0.000980392156862745	NA	NA
"251"	"2210404O09Rik"	0.00166666666666667	0.0950980392156863	0.225	0.168421052631579
"252"	"2210406O10Rik"	NA	0.000980392156862745	NA	0.00526315789473684
"253"	"2210408F21Rik"	0.00166666666666667	0.0617647058823529	0.1	0.182456140350877
"254"	"2210408I21Rik"	0.005	0.0509803921568627	0.05	0.0631578947368421
"255"	"2210417K05Rik"	NA	0.000980392156862745	NA	0.0245614035087719
"256"	"2300009A05Rik"	0.00666666666666667	0.135294117647059	0.1375	0.214035087719298
"257"	"2310001H17Rik"	0.00333333333333333	0.0205882352941176	NA	0.056140350877193
"258"	"2310001K24Rik"	NA	NA	0.0125	NA
"259"	"2310002F09Rik"	NA	0.0294117647058824	0.0875	0.0596491228070175
"260"	"2310003H01Rik"	0.00666666666666667	0.0941176470588235	0.2125	0.13859649122807
"261"	"2310005G13Rik"	NA	0.000980392156862745	NA	NA
"262"	"2310007L24Rik"	NA	NA	NA	0.00175438596491228
"263"	"2310009B15Rik"	0.02	0.316666666666667	0.5	0.810526315789474
"264"	"2310010G23Rik"	NA	0.0107843137254902	0.0125	0.0280701754385965
"265"	"2310010J17Rik"	0.00833333333333333	0.0637254901960784	0.0625	0.180701754385965
"266"	"2310011J03Rik"	0.0116666666666667	0.337254901960784	0.3	0.484210526315789
"267"	"2310014F06Rik"	NA	0.000980392156862745	NA	NA
"268"	"2310014L17Rik"	NA	0.0156862745098039	0.0125	0.0210526315789474
"269"	"2310015A10Rik"	0.00333333333333333	0.0196078431372549	0.0375	0.0649122807017544
"270"	"2310015B20Rik"	NA	NA	NA	0.00175438596491228
"271"	"2310022A10Rik"	0.00166666666666667	0.0715686274509804	0.0625	0.108771929824561
"272"	"2310022B05Rik"	0.0216666666666667	0.812745098039216	1.3125	1.37719298245614
"273"	"2310026L22Rik"	NA	NA	NA	0.00175438596491228
"274"	"2310030G06Rik"	NA	0.000980392156862745	NA	0.00526315789473684
"275"	"2310031A07Rik"	NA	0.0196078431372549	0.05	0.0192982456140351
"276"	"2310033P09Rik"	NA	0.282352941176471	0.475	0.519298245614035
"277"	"2310035C23Rik"	0.005	0.184313725490196	0.375	0.308771929824561
"278"	"2310036O22Rik"	0.0266666666666667	1.54509803921569	2.225	2.25438596491228
"279"	"2310039H08Rik"	0.0216666666666667	0.250980392156863	0.4625	1.02280701754386
"280"	"2310040G07Rik"	NA	0.000980392156862745	NA	NA
"281"	"2310044G17Rik"	NA	0.145098039215686	0.0375	0.17719298245614
"282"	"2310045N01Rik"	0.00333333333333333	0.273529411764706	0.3375	0.664912280701754
"283"	"2310047M10Rik"	NA	0.0627450980392157	0.1125	0.135087719298246
"284"	"2310050B05Rik"	NA	NA	0.025	NA
"285"	"2310057M21Rik"	0.00166666666666667	0.132352941176471	0.15	0.217543859649123
"286"	"2310058D17Rik"	0.00166666666666667	0.0303921568627451	0.1	0.0228070175438597
"287"	"2310061I04Rik"	NA	0.162745098039216	0.2625	0.245614035087719
"288"	"2310067B10Rik"	0.0116666666666667	0.0794117647058823	0.1625	0.140350877192982
"289"	"2310075C17Rik"	NA	NA	NA	0.00175438596491228
"290"	"2410002F23Rik"	0.01	0.370588235294118	0.625	0.449122807017544
"291"	"2410004B18Rik"	0.0116666666666667	0.381372549019608	0.625	0.615789473684211
"292"	"2410004I01Rik"	NA	NA	NA	0.00175438596491228
"293"	"2410004N09Rik"	0.005	0.552941176470588	0.6625	0.998245614035088
"294"	"2410006H16Rik"	0.123333333333333	2.07058823529412	2.6375	6.63684210526316
"295"	"2410015M20Rik"	0.0533333333333333	1.09411764705882	1.625	2.75964912280702
"296"	"2410016O06Rik"	0.00166666666666667	0.0774509803921569	0.0875	0.164912280701754
"297"	"2410018L13Rik"	NA	NA	0.0125	0.00526315789473684
"298"	"2410018M08Rik"	NA	0.0245098039215686	0.0125	0.0298245614035088
"299"	"2410019O14Rik"	NA	NA	0.0125	0.00175438596491228
"300"	"2410066E13Rik"	NA	0.0107843137254902	0.0375	0.0701754385964912
"301"	"2410076I21Rik"	NA	0.00392156862745098	0.0125	NA
"302"	"2410080I02Rik"	NA	0.00294117647058824	0.0125	0.00350877192982456
"303"	"2410089E03Rik"	0.0183333333333333	0.288235294117647	0.4	0.401754385964912
"304"	"2410114N07Rik"	NA	NA	NA	0.00175438596491228
"305"	"2410127L17Rik"	NA	0.0225490196078431	0.05	0.0543859649122807
"306"	"2410131K14Rik"	0.00333333333333333	0.116666666666667	0.1625	0.114035087719298
"307"	"2410133F24Rik"	NA	0.00686274509803922	0.025	0.0157894736842105
"308"	"2410137F16Rik"	NA	0.00588235294117647	NA	0.00701754385964912
"309"	"2410137M14Rik"	NA	0.000980392156862745	NA	NA
"310"	"2410141K09Rik"	NA	0.000980392156862745	NA	NA
"311"	"2500002B13Rik"	NA	0.0215686274509804	NA	0.0298245614035088
"312"	"2500004C02Rik"	0.00166666666666667	0.0617647058823529	0.2125	0.166666666666667
"313"	"2510002D24Rik"	0.00666666666666667	0.209803921568627	0.35	0.466666666666667
"314"	"2510003E04Rik"	0.0116666666666667	0.27156862745098	0.45	0.587719298245614
"315"	"2510009E07Rik"	0.005	0.0588235294117647	0.1875	0.12280701754386
"316"	"2510016G02Rik"	0.005	0.00980392156862745	0.1125	0.0157894736842105
"317"	"2510039O18Rik"	NA	0.199019607843137	0.2	0.224561403508772
"318"	"2510046G10Rik"	NA	0.00686274509803922	0.025	0.0157894736842105
"319"	"2510049J12Rik"	0.00166666666666667	NA	NA	NA
"320"	"2600006K01Rik"	NA	NA	0.0125	NA
"321"	"2610001J05Rik"	0.0216666666666667	0.86078431372549	0.8	1.35438596491228
"322"	"2610002J02Rik"	0.005	0.156862745098039	0.325	0.317543859649123
"323"	"2610002M06Rik"	0.00833333333333333	0.246078431372549	0.1625	0.412280701754386
"324"	"2610008E11Rik"	0.00333333333333333	0.167647058823529	0.15	0.303508771929825
"325"	"2610015P09Rik"	0.0166666666666667	0.0980392156862745	0.1875	0.203508771929825
"326"	"2610017I09Rik"	NA	NA	NA	0.00175438596491228
"327"	"2610018G03Rik"	NA	0.00196078431372549	0.05	0.00526315789473684
"328"	"2610019E17Rik"	0.0116666666666667	0.577450980392157	0.75	0.833333333333333
"329"	"2610020C07Rik"	NA	0.0823529411764706	0.05	0.110526315789474
"330"	"2610020H08Rik"	NA	0.0568627450980392	0.1125	0.0824561403508772
"331"	"2610021A01Rik"	NA	0.118627450980392	0.1	0.129824561403509
"332"	"2610027K06Rik"	NA	0.000980392156862745	0.0125	NA
